Match Number,Round Number,Date,Location,Home Team,Away Team,Result
127,15,20/12/2025 14:30,Volksparkstadion,Hamburg,Ein Frankfurt,
128,15,20/12/2025 14:30,RheinEnergieStadion,FC Koln,Union Berlin,
129,15,20/12/2025 14:30,Voith-Arena,Heidenheim,Bayern Munich,
130,15,20/12/2025 14:30,WWK Arena,Augsburg,Werder Bremen,
131,15,20/12/2025 14:30,Volkswagen Arena,Wolfsburg,Sport-Club Freiburg,
132,15,20/12/2025 14:30,MHPArena,Stuttgart,Hoffenheim,
133,15,20/12/2025 14:30,Red Bull Arena,RB Leipzig,Leverkusen,
134,15,20/12/2025 14:30,Mewa Arena,1. FSV Mainz 05,St Pauli,
135,15,20/12/2025 14:30,Signal Iduna Park,Dortmund,Borussia Mönchengladbach,
136,16,10/01/2026 14:30,Voith-Arena,Heidenheim,FC Koln,
137,16,10/01/2026 14:30,Millerntor-Stadion,St Pauli,RB Leipzig,
138,16,10/01/2026 14:30,An der Alten Försterei,Union Berlin,1. FSV Mainz 05,
139,16,10/01/2026 14:30,Borussia-Park,Borussia Mönchengladbach,Augsburg,
140,16,10/01/2026 14:30,Weserstadion,Werder Bremen,Hoffenheim,
141,16,10/01/2026 14:30,Europa-Park Stadion,Sport-Club Freiburg,Hamburg,
